OTU,logMaxMean,LDA,pValue
Otu00164,2.53126,2.28219,0.00365867
Otu00165,1.6312,NA,NA
Otu00166,2.23605,NA,NA
Otu00168,1.96893,NA,NA
Otu00169,1.14175,NA,NA
Otu00171,1.81014,NA,NA
Otu00172,2.21221,NA,NA
Otu00173,2.35944,2.09648,0.0164887
Otu00174,1.681,NA,NA
Otu00175,2.61403,NA,NA
Otu00176,2.28518,NA,NA
Otu00177,2.64207,NA,NA
Otu00179,2.16103,NA,NA
Otu00181,1.94,NA,NA
Otu00182,2.48602,2.14163,0.00250208
Otu00183,1.30218,NA,NA
Otu00184,1.52953,NA,NA
Otu00185,0.760955,NA,NA
Otu00186,2.57481,NA,NA
Otu00187,1.95335,NA,NA
Otu00188,0.158895,NA,NA
Otu00191,1.92528,NA,NA
Otu00192,1.18916,NA,NA
Otu00193,1.55035,NA,NA
Otu00194,2.09759,NA,NA
Otu00195,1.81991,NA,NA
Otu00197,1.8465,NA,NA
Otu00200,2.34339,NA,NA
Otu00201,0.925282,NA,NA
Otu00202,1.20029,NA,NA
Otu00203,2.35296,NA,NA
Otu00204,1.57607,NA,NA
Otu00205,2.3459,NA,NA
Otu00206,0.711035,NA,NA
Otu00207,2.25527,NA,NA
Otu00208,2.21828,NA,NA
Otu00209,1.15889,NA,NA
Otu00210,1.68831,NA,NA
Otu00211,2.27283,NA,NA
Otu00212,2.06563,NA,NA
Otu00213,1.87316,NA,NA
Otu00214,1.98259,NA,NA
Otu00215,1.7219,NA,NA
Otu00216,2.11132,NA,NA
Otu00219,1.86231,NA,NA
Otu00220,1.51127,NA,NA
Otu00222,2.22209,NA,NA
Otu00223,0.964063,NA,NA
Otu00224,1.25133,NA,NA
Otu00225,2.43479,2.19691,0.00757156
Otu00226,1.68692,NA,NA
Otu00228,2.23529,NA,NA
Otu00229,2.17322,NA,NA
Otu00230,1.37269,NA,NA
Otu00231,1.8854,NA,NA
Otu00232,1.36884,NA,NA
Otu00233,1.72496,NA,NA
Otu00234,2.076,NA,NA
Otu00235,1.75132,NA,NA
Otu00236,2.34508,2.07085,0.0103297
Otu00237,2.23634,NA,NA
Otu00240,1.74996,NA,NA
Otu00241,1.41912,NA,NA
Otu00242,1.35565,NA,NA
Otu00243,2.2106,NA,NA
Otu00244,1.87488,NA,NA
Otu00245,1.30892,NA,NA
Otu00246,1.56368,NA,NA
Otu00247,1.45087,NA,NA
Otu00248,1.98327,NA,NA
Otu00249,1.4066,NA,NA
Otu00250,2.05084,NA,NA
Otu00251,1.58708,NA,NA
Otu00252,1.76154,NA,NA
Otu00253,1.14025,NA,NA
Otu00254,1.95814,NA,NA
Otu00255,0.642322,NA,NA
Otu00256,1.25874,NA,NA
Otu00257,1.40673,NA,NA
Otu00259,1.14153,NA,NA
Otu00260,1.35565,NA,NA
Otu00261,1.43211,NA,NA
Otu00262,1.8167,NA,NA
Otu00263,1.55933,NA,NA
Otu00264,1.51402,NA,NA
Otu00265,0.782644,NA,NA
Otu00266,1.35473,NA,NA
Otu00267,0.841789,NA,NA
Otu00268,1.23647,NA,NA
Otu00269,1.21131,NA,NA
Otu00270,2.0779,NA,NA
Otu00272,1.78936,NA,NA
Otu00273,1.87959,NA,NA
Otu00274,1.46119,NA,NA
Otu00275,1.17205,NA,NA
Otu00276,1.14118,NA,NA
Otu00277,1.4074,NA,NA
Otu00278,1.68933,NA,NA
Otu00279,1.90132,NA,NA
Otu00281,1.60939,NA,NA
Otu00283,1.31944,NA,NA
Otu00284,1.14042,NA,NA
Otu00285,1.35623,NA,NA
Otu00286,1.46286,NA,NA
Otu00287,2.20824,NA,NA
Otu00288,1.76758,NA,NA
Otu00289,1.6587,NA,NA
Otu00290,1.88409,NA,NA
Otu00291,1.28709,NA,NA
Otu00292,1.83952,NA,NA
Otu00294,1.47632,NA,NA
Otu00295,1.71574,NA,NA
Otu00296,1.87913,NA,NA
Otu00297,2.2317,NA,NA
Otu00299,1.22793,NA,NA
Otu00300,0,NA,NA
Otu00301,1.3798,NA,NA
Otu00302,1.00399,NA,NA
Otu00304,1.59161,NA,NA
Otu00305,1.83212,NA,NA
Otu00306,1.61665,NA,NA
Otu00308,0.911956,NA,NA
Otu00310,2.06707,NA,NA
Otu00311,1.23596,NA,NA
Otu00312,1.37984,NA,NA
Otu00313,1.75984,NA,NA
Otu00314,1.13231,NA,NA
Otu00315,1.7564,NA,NA
Otu00316,1.65454,NA,NA
Otu00317,0.624252,NA,NA
Otu00318,1.70781,NA,NA
Otu00319,0.675319,NA,NA
Otu00320,1.18712,NA,NA
Otu00321,1.75794,NA,NA
Otu00322,1.29062,NA,NA
Otu00323,1.87755,NA,NA
