,mouse,treatment,experiment,day,cfu
60,1305,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,3,2020000
61,1306,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,3,10000
62,1302,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,5,1
63,1303,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,5,1
64,1304,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,5,1
65,1311,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,5,1
66,1312,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,5,1
67,1284,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,5,1
68,1285,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,5,1
69,1287,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,5,1
70,1305,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,5,3100000
71,1306,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,5,8100000
72,1302,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,7,1
73,1303,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,7,1
74,1304,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,7,1
75,1312,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,7,1
76,1285,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,7,1
77,1286,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,7,1
78,1287,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,7,1
79,1305,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,7,6300000
80,1306,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,7,3100000
81,1302,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
82,1303,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
83,1304,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
84,1311,HhWT + VPI spores + anti-p40 ,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
